08:54:19 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
08:55:48 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
08:58:51 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
10:35:49 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
10:38:53 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
10:43:42 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
10:45:21 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
10:46:32 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
10:47:54 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
10:49:06 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
10:52:28 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
10:53:39 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
10:55:11 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
10:56:21 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
10:57:54 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
10:59:23 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
11:00:54 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
11:02:23 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
11:03:54 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
11:05:23 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
11:06:56 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
11:08:07 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
11:11:12 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
